😀	face-smiling/grinning-face
🧑🏻‍⚕	person-role/health-worker-light-skin-tone
🧑🏼‍⚕️	person-role/health-worker-medium-light-skin-tone
🧑🏼‍⚕	person-role/health-worker-medium-light-skin-tone
🧑🏽‍⚕️	person-role/health-worker-medium-skin-tone
🧑🏽‍⚕	person-role/health-worker-medium-skin-tone
🧑🏾‍⚕️	person-role/health-worker-medium-dark-skin-tone
🧑🏾‍⚕	person-role/health-worker-medium-dark-skin-tone
🧑🏿‍⚕️	person-role/health-worker-dark-skin-tone
🧑🏿‍⚕	person-role/health-worker-dark-skin-tone
👨‍⚕️	person-role/man-health-worker
👨‍⚕	person-role/man-health-worker
👨🏻‍⚕️	person-role/man-health-worker-light-skin-tone
👨🏻‍⚕	person-role/man-health-worker-light-skin-tone
👨🏼‍⚕️	person-role/man-health-worker-medium-light-skin-tone
👨🏼‍⚕	person-role/man-health-worker-medium-light-skin-tone
👨🏽‍⚕️	person-role/man-health-worker-medium-skin-tone
👨🏽‍⚕	person-role/man-health-worker-medium-skin-tone
👨🏾‍⚕️	person-role/man-health-worker-medium-dark-skin-tone
👨🏾‍⚕	person-role/man-health-worker-medium-dark-skin-tone
👨🏿‍⚕️	person-role/man-health-worker-dark-skin-tone
👨🏿‍⚕	person-role/man-health-worker-dark-skin-tone
👩‍⚕️	person-role/woman-health-worker
👩‍⚕	person-role/woman-health-worker
👩🏻‍⚕️	person-role/woman-health-worker-light-skin-tone
👩🏻‍⚕	person-role/woman-health-worker-light-skin-tone
👩🏼‍⚕️	person-role/woman-health-worker-medium-light-skin-tone
👩🏼‍⚕	person-role/woman-health-worker-medium-light-skin-tone
👩🏽‍⚕️	person-role/woman-health-worker-medium-skin-tone
👩🏽‍⚕	person-role/woman-health-worker-medium-skin-tone
👩🏾‍⚕️	person-role/woman-health-worker-medium-dark-skin-tone
👩🏾‍⚕	person-role/woman-health-worker-medium-dark-skin-tone
👩🏿‍⚕️	person-role/woman-health-worker-dark-skin-tone
👩🏿‍⚕	person-role/woman-health-worker-dark-skin-tone
🧑‍🎓	person-role/student
🧑🏻‍🎓	person-role/student-light-skin-tone
🧑🏼‍🎓	person-role/student-medium-light-skin-tone
🧑🏽‍🎓	person-role/student-medium-skin-tone
🧑🏾‍🎓	person-role/student-medium-dark-skin-tone
🧑🏿‍🎓	person-role/student-dark-skin-tone
👨‍🎓	person-role/man-student
👨🏻‍🎓	person-role/man-student-light-skin-tone
👨🏼‍🎓	person-role/man-student-medium-light-skin-tone
👨🏽‍🎓	person-role/man-student-medium-skin-tone
👨🏾‍🎓	person-role/man-student-medium-dark-skin-tone
👨🏿‍🎓	person-role/man-student-dark-skin-tone
👩‍🎓	person-role/woman-student
👩🏻‍🎓	person-role/woman-student-light-skin-tone
👩🏼‍🎓	person-role/woman-student-medium-light-skin-tone
👩🏽‍🎓	person-role/woman-student-medium-skin-tone
👩🏾‍🎓	person-role/woman-student-medium-dark-skin-tone
👩🏿‍🎓	person-role/woman-student-dark-skin-tone
🧑‍🏫	person-role/teacher
🧑🏻‍🏫	person-role/teacher-light-skin-tone
🧑🏼‍🏫	person-role/teacher-medium-light-skin-tone
🧑🏽‍🏫	person-role/teacher-medium-skin-tone
🧑🏾‍🏫	person-role/teacher-medium-dark-skin-tone
🧑🏿‍🏫	person-role/teacher-dark-skin-tone
👨‍🏫	person-role/man-teacher
👨🏻‍🏫	person-role/man-teacher-light-skin-tone
👨🏼‍🏫	person-role/man-teacher-medium-light-skin-tone
👨🏽‍🏫	person-role/man-teacher-medium-skin-tone
👨🏾‍🏫	person-role/man-teacher-medium-dark-skin-tone
👨🏿‍🏫	person-role/man-teacher-dark-skin-tone
👩‍🏫	person-role/woman-teacher
👩🏻‍🏫	person-role/woman-teacher-light-skin-tone
👩🏼‍🏫	person-role/woman-teacher-medium-light-skin-tone
👩🏽‍🏫	person-role/woman-teacher-medium-skin-tone
👩🏾‍🏫	person-role/woman-teacher-medium-dark-skin-tone
👩🏿‍🏫	person-role/woman-teacher-dark-skin-tone
🧑‍⚖️	person-role/judge
🧑‍⚖	person-role/judge
🧑🏻‍⚖️	person-role/judge-light-skin-tone
🧑🏻‍⚖	person-role/judge-light-skin-tone
🧑🏼‍⚖️	person-role/judge-medium-light-skin-tone
🧑🏼‍⚖	person-role/judge-medium-light-skin-tone
🧑🏽‍⚖️	person-role/judge-medium-skin-tone
🧑🏽‍⚖	person-role/judge-medium-skin-tone
🧑🏾‍⚖️	person-role/judge-medium-dark-skin-tone
🧑🏾‍⚖	person-role/judge-medium-dark-skin-tone
🧑🏿‍⚖️	person-role/judge-dark-skin-tone
🧑🏿‍⚖	person-role/judge-dark-skin-tone
👨‍⚖️	person-role/man-judge
👨‍⚖	person-role/man-judge
👨🏻‍⚖️	person-role/man-judge-light-skin-tone
👨🏻‍⚖	person-role/man-judge-light-skin-tone
👨🏼‍⚖️	person-role/man-judge-medium-light-skin-tone
👨🏼‍⚖	person-role/man-judge-medium-light-skin-tone
👨🏽‍⚖️	person-role/man-judge-medium-skin-tone
👨🏽‍⚖	person-role/man-judge-medium-skin-tone
👨🏾‍⚖️	person-role/man-judge-medium-dark-skin-tone
👨🏾‍⚖	person-role/man-judge-medium-dark-skin-tone
👨🏿‍⚖️	person-role/man-judge-dark-skin-tone
👨🏿‍⚖	person-role/man-judge-dark-skin-tone
👩‍⚖️	person-role/woman-judge
👩‍⚖	person-role/woman-judge
👩🏻‍⚖️	person-role/woman-judge-light-skin-tone
👩🏻‍⚖	person-role/woman-judge-light-skin-tone
👩🏼‍⚖️	person-role/woman-judge-medium-light-skin-tone
👩🏼‍⚖	person-role/woman-judge-medium-light-skin-tone
👩🏽‍⚖️	person-role/woman-judge-medium-skin-tone
👩🏽‍⚖	person-role/woman-judge-medium-skin-tone
👩🏾‍⚖️	person-role/woman-judge-medium-dark-skin-tone
👩🏾‍⚖	person-role/woman-judge-medium-dark-skin-tone
👩🏿‍⚖️	person-role/woman-judge-dark-skin-tone
👩🏿‍⚖	person-role/woman-judge-dark-skin-tone
🧑‍🌾	person-role/farmer
🧑🏻‍🌾	person-role/farmer-light-skin-tone
🧑🏼‍🌾	person-role/farmer-medium-light-skin-tone
🧑🏽‍🌾	person-role/farmer-medium-skin-tone
🧑🏾‍🌾	person-role/farmer-medium-dark-skin-tone
🧑🏿‍🌾	person-role/farmer-dark-skin-tone
👨‍🌾	person-role/man-farmer
👨🏻‍🌾	person-role/man-farmer-light-skin-tone
👨🏼‍🌾	person-role/man-farmer-medium-light-skin-tone
👨🏽‍🌾	person-role/man-farmer-medium-skin-tone
👨🏾‍🌾	person-role/man-farmer-medium-dark-skin-tone
👨🏿‍🌾	person-role/man-farmer-dark-skin-tone
👩‍🌾	person-role/woman-farmer
👩🏻‍🌾	person-role/woman-farmer-light-skin-tone
👩🏼‍🌾	person-role/woman-farmer-medium-light-skin-tone
👩🏽‍🌾	person-role/woman-farmer-medium-skin-tone
👩🏾‍🌾	person-role/woman-farmer-medium-dark-skin-tone
👩🏿‍🌾	person-role/woman-farmer-dark-skin-tone
🧑‍🍳	person-role/cook
🧑🏻‍🍳	person-role/cook-light-skin-tone
🧑🏼‍🍳	person-role/cook-medium-light-skin-tone
🧑🏽‍🍳	person-role/cook-medium-skin-tone
🧑🏾‍🍳	person-role/cook-medium-dark-skin-tone
🧑🏿‍🍳	person-role/cook-dark-skin-tone
👨‍🍳	person-role/man-cook
👨🏻‍🍳	person-role/man-cook-light-skin-tone
👨🏼‍🍳	person-role/man-cook-medium-light-skin-tone
👨🏽‍🍳	person-role/man-cook-medium-skin-tone
👨🏾‍🍳	person-role/man-cook-medium-dark-skin-tone
👨🏿‍🍳	person-role/man-cook-dark-skin-tone
👩‍🍳	person-role/woman-cook
👩🏻‍🍳	person-role/woman-cook-light-skin-tone
👩🏼‍🍳	person-role/woman-cook-medium-light-skin-tone
👩🏽‍🍳	person-role/woman-cook-medium-skin-tone
👩🏾‍🍳	person-role/woman-cook-medium-dark-skin-tone
👩🏿‍🍳	person-role/woman-cook-dark-skin-tone
🧑‍🔧	person-role/mechanic
🧑🏻‍🔧	person-role/mechanic-light-skin-tone
🧑🏼‍🔧	person-role/mechanic-medium-light-skin-tone
🧑🏽‍🔧	person-role/mechanic-medium-skin-tone
🧑🏾‍🔧	person-role/mechanic-medium-dark-skin-tone
🧑🏿‍🔧	person-role/mechanic-dark-skin-tone
👨‍🔧	person-role/man-mechanic
👨🏻‍🔧	person-role/man-mechanic-light-skin-tone
👨🏼‍🔧	person-role/man-mechanic-medium-light-skin-tone
👨🏽‍🔧	person-role/man-mechanic-medium-skin-tone
👨🏾‍🔧	person-role/man-mechanic-medium-dark-skin-tone
👨🏿‍🔧	person-role/man-mechanic-dark-skin-tone
👩‍🔧	person-role/woman-mechanic
👩🏻‍🔧	person-role/woman-mechanic-light-skin-tone
👩🏼‍🔧	person-role/woman-mechanic-medium-light-skin-tone
👩🏽‍🔧	person-role/woman-mechanic-medium-skin-tone
👩🏾‍🔧	person-role/woman-mechanic-medium-dark-skin-tone
👩🏿‍🔧	person-role/woman-mechanic-dark-skin-tone
🧑‍🏭	person-role/factory-worker
🧑🏻‍🏭	person-role/factory-worker-light-skin-tone
🧑🏼‍🏭	person-role/factory-worker-medium-light-skin-tone
🧑🏽‍🏭	person-role/factory-worker-medium-skin-tone
🧑🏾‍🏭	person-role/factory-worker-medium-dark-skin-tone
🧑🏿‍🏭	person-role/factory-worker-dark-skin-tone
👨‍🏭	person-role/man-factory-worker
👨🏻‍🏭	person-role/man-factory-worker-light-skin-tone
👨🏼‍🏭	person-role/man-factory-worker-medium-light-skin-tone
👨🏽‍🏭	person-role/man-factory-worker-medium-skin-tone
👨🏾‍🏭	person-role/man-factory-worker-medium-dark-skin-tone
👨🏿‍🏭	person-role/man-factory-worker-dark-skin-tone
👩‍🏭	person-role/woman-factory-worker
👩🏻‍🏭	person-role/woman-factory-worker-light-skin-tone
👩🏼‍🏭	person-role/woman-factory-worker-medium-light-skin-tone
👩🏽‍🏭	person-role/woman-factory-worker-medium-skin-tone
👩🏾‍🏭	person-role/woman-factory-worker-medium-dark-skin-tone
👩🏿‍🏭	person-role/woman-factory-worker-dark-skin-tone
🧑‍💼	person-role/office-worker
🧑🏻‍💼	person-role/office-worker-light-skin-tone
🧑🏼‍💼	person-role/office-worker-medium-light-skin-tone
🧑🏽‍💼	person-role/office-worker-medium-skin-tone
🧑🏾‍💼	person-role/office-worker-medium-dark-skin-tone
🧑🏿‍💼	person-role/office-worker-dark-skin-tone
👨‍💼	person-role/man-office-worker
👨🏻‍💼	person-role/man-office-worker-light-skin-tone
👨🏼‍💼	person-role/man-office-worker-medium-light-skin-tone
👨🏽‍💼	person-role/man-office-worker-medium-skin-tone
👨🏾‍💼	person-role/man-office-worker-medium-dark-skin-tone
👨🏿‍💼	person-role/man-office-worker-dark-skin-tone
👩‍💼	person-role/woman-office-worker
👩🏻‍💼	person-role/woman-office-worker-light-skin-tone
👩🏼‍💼	person-role/woman-office-worker-medium-light-skin-tone
👩🏽‍💼	person-role/woman-office-worker-medium-skin-tone
👩🏾‍💼	person-role/woman-office-worker-medium-dark-skin-tone
👩🏿‍💼	person-role/woman-office-worker-dark-skin-tone
🧑‍🔬	person-role/scientist
🧑🏻‍🔬	person-role/scientist-light-skin-tone
🧑🏼‍🔬	person-role/scientist-medium-light-skin-tone
🧑🏽‍🔬	person-role/scientist-medium-skin-tone
🧑🏾‍🔬	person-role/scientist-medium-dark-skin-tone
🧑🏿‍🔬	person-role/scientist-dark-skin-tone
👨‍🔬	person-role/man-scientist
👨🏻‍🔬	person-role/man-scientist-light-skin-tone
👨🏼‍🔬	person-role/man-scientist-medium-light-skin-tone
👨🏽‍🔬	person-role/man-scientist-medium-skin-tone
👨🏾‍🔬	person-role/man-scientist-medium-dark-skin-tone
👨🏿‍🔬	person-role/man-scientist-dark-skin-tone
👩‍🔬	person-role/woman-scientist
👩🏻‍🔬	person-role/woman-scientist-light-skin-tone
👩🏼‍🔬	person-role/woman-scientist-medium-light-skin-tone
👩🏽‍🔬	person-role/woman-scientist-medium-skin-tone
👩🏾‍🔬	person-role/woman-scientist-medium-dark-skin-tone
👩🏿‍🔬	person-role/woman-scientist-dark-skin-tone
🧑‍💻	person-role/technologist
🧑🏻‍💻	person-role/technologist-light-skin-tone
🧑🏼‍💻	person-role/technologist-medium-light-skin-tone
🧑🏽‍💻	person-role/technologist-medium-skin-tone
🧑🏾‍💻	person-role/technologist-medium-dark-skin-tone
🧑🏿‍💻	person-role/technologist-dark-skin-tone
👨‍💻	person-role/man-technologist
👨🏻‍💻	person-role/man-technologist-light-skin-tone
👨🏼‍💻	person-role/man-technologist-medium-light-skin-tone
👨🏽‍💻	person-role/man-technologist-medium-skin-tone
👨🏾‍💻	person-role/man-technologist-medium-dark-skin-tone
👨🏿‍💻	person-role/man-technologist-dark-skin-tone
👩‍💻	person-role/woman-technologist
👩🏻‍💻	person-role/woman-technologist-light-skin-tone
👩🏼‍💻	person-role/woman-technologist-medium-light-skin-tone
👩🏽‍💻	person-role/woman-technologist-medium-skin-tone
👩🏾‍💻	person-role/woman-technologist-medium-dark-skin-tone
👩🏿‍💻	person-role/woman-technologist-dark-skin-tone
🧑‍🎤	person-role/singer
🧑🏻‍🎤	person-role/singer-light-skin-tone
🧑🏼‍🎤	person-role/singer-medium-light-skin-tone
🧑🏽‍🎤	person-role/singer-medium-skin-tone
🧑🏾‍🎤	person-role/singer-medium-dark-skin-tone
🧑🏿‍🎤	person-role/singer-dark-skin-tone
👨‍🎤	person-role/man-singer
👨🏻‍🎤	person-role/man-singer-light-skin-tone
👨🏼‍🎤	person-role/man-singer-medium-light-skin-tone
👨🏽‍🎤	person-role/man-singer-medium-skin-tone
👨🏾‍🎤	person-role/man-singer-medium-dark-skin-tone
👨🏿‍🎤	person-role/man-singer-dark-skin-tone
👩‍🎤	person-role/woman-singer
👩🏻‍🎤	person-role/woman-singer-light-skin-tone
👩🏼‍🎤	person-role/woman-singer-medium-light-skin-tone
👩🏽‍🎤	person-role/woman-singer-medium-skin-tone
👩🏾‍🎤	person-role/woman-singer-medium-dark-skin-tone
👩🏿‍🎤	person-role/woman-singer-dark-skin-tone
🧑‍🎨	person-role/artist
🧑🏻‍🎨	person-role/artist-light-skin-tone
🧑🏼‍🎨	person-role/artist-medium-light-skin-tone
🧑🏽‍🎨	person-role/artist-medium-skin-tone
🧑🏾‍🎨	person-role/artist-medium-dark-skin-tone
🧑🏿‍🎨	person-role/artist-dark-skin-tone
👨‍🎨	person-role/man-artist
👨🏻‍🎨	person-role/man-artist-light-skin-tone
👨🏼‍🎨	person-role/man-artist-medium-light-skin-tone
👨🏽‍🎨	person-role/man-artist-medium-skin-tone
👨🏾‍🎨	person-role/man-artist-medium-dark-skin-tone
👨🏿‍🎨	person-role/man-artist-dark-skin-tone
👩‍🎨	person-role/woman-artist
👩🏻‍🎨	person-role/woman-artist-light-skin-tone
👩🏼‍🎨	person-role/woman-artist-medium-light-skin-tone
👩🏽‍🎨	person-role/woman-artist-medium-skin-tone
👩🏾‍🎨	person-role/woman-artist-medium-dark-skin-tone
👩🏿‍🎨	person-role/woman-artist-dark-skin-tone
🧑‍✈️	person-role/pilot
🧑‍✈	person-role/pilot
🧑🏻‍✈️	person-role/pilot-light-skin-tone
🧑🏻‍✈	person-role/pilot-light-skin-tone
🧑🏼‍✈️	person-role/pilot-medium-light-skin-tone
🧑🏼‍✈	person-role/pilot-medium-light-skin-tone
🧑🏽‍✈️	person-role/pilot-medium-skin-tone
🧑🏽‍✈	person-role/pilot-medium-skin-tone
🧑🏾‍✈️	person-role/pilot-medium-dark-skin-tone
🧑🏾‍✈	person-role/pilot-medium-dark-skin-tone
🧑🏿‍✈️	person-role/pilot-dark-skin-tone
🧑🏿‍✈	person-role/pilot-dark-skin-tone
👨‍✈️	person-role/man-pilot
👨‍✈	person-role/man-pilot
👨🏻‍✈️	person-role/man-pilot-light-skin-tone
👨🏻‍✈	person-role/man-pilot-light-skin-tone
👨🏼‍✈️	person-role/man-pilot-medium-light-skin-tone
👨🏼‍✈	person-role/man-pilot-medium-light-skin-tone
👨🏽‍✈️	person-role/man-pilot-medium-skin-tone
👨🏽‍✈	person-role/man-pilot-medium-skin-tone
👨🏾‍✈️	person-role/man-pilot-medium-dark-skin-tone
👨🏾‍✈	person-role/man-pilot-medium-dark-skin-tone
👨🏿‍✈️	person-role/man-pilot-dark-skin-tone
👨🏿‍✈	person-role/man-pilot-dark-skin-tone
👩‍✈️	person-role/woman-pilot
👩‍✈	person-role/woman-pilot
👩🏻‍✈️	person-role/woman-pilot-light-skin-tone
👩🏻‍✈	person-role/woman-pilot-light-skin-tone
👩🏼‍✈️	person-role/woman-pilot-medium-light-skin-tone
👩🏼‍✈	person-role/woman-pilot-medium-light-skin-tone
👩🏽‍✈️	person-role/woman-pilot-medium-skin-tone
👩🏽‍✈	person-role/woman-pilot-medium-skin-tone
👩🏾‍✈️	person-role/woman-pilot-medium-dark-skin-tone
👩🏾‍✈	person-role/woman-pilot-medium-dark-skin-tone
👩🏿‍✈️	person-role/woman-pilot-dark-skin-tone
👩🏿‍✈	person-role/woman-pilot-dark-skin-tone
🧑‍🚀	person-role/astronaut
🧑🏻‍🚀	person-role/astronaut-light-skin-tone
🧑🏼‍🚀	person-role/astronaut-medium-light-skin-tone
🧑🏽‍🚀	person-role/astronaut-medium-skin-tone
🧑🏾‍🚀	person-role/astronaut-medium-dark-skin-tone
🧑🏿‍🚀	person-role/astronaut-dark-skin-tone
👨‍🚀	person-role/man-astronaut
👨🏻‍🚀	person-role/man-astronaut-light-skin-tone
👨🏼‍🚀	person-role/man-astronaut-medium-light-skin-tone
👨🏽‍🚀	person-role/man-astronaut-medium-skin-tone
👨🏾‍🚀	person-role/man-astronaut-medium-dark-skin-tone
👨🏿‍🚀	person-role/man-astronaut-dark-skin-tone
👩‍🚀	person-role/woman-astronaut
👩🏻‍🚀	person-role/woman-astronaut-light-skin-tone
👩🏼‍🚀	person-role/woman-astronaut-medium-light-skin-tone
👩🏽‍🚀	person-role/woman-astronaut-medium-skin-tone
👩🏾‍🚀	person-role/woman-astronaut-medium-dark-skin-tone
👩🏿‍🚀	person-role/woman-astronaut-dark-skin-tone
🧑‍🚒	person-role/firefighter
🧑🏻‍🚒	person-role/firefighter-light-skin-tone
🧑🏼‍🚒	person-role/firefighter-medium-light-skin-tone
🧑🏽‍🚒	person-role/firefighter-medium-skin-tone
🧑🏾‍🚒	person-role/firefighter-medium-dark-skin-tone
🧑🏿‍🚒	person-role/firefighter-dark-skin-tone
👨‍🚒	person-role/man-firefighter
👨🏻‍🚒	person-role/man-firefighter-light-skin-tone
👨🏼‍🚒	person-role/man-firefighter-medium-light-skin-tone
👨🏽‍🚒	person-role/man-firefighter-medium-skin-tone
👨🏾‍🚒	person-role/man-firefighter-medium-dark-skin-tone
👨🏿‍🚒	person-role/man-firefighter-dark-skin-tone
👩‍🚒	person-role/woman-firefighter
👩🏻‍🚒	person-role/woman-firefighter-light-skin-tone
👩🏼‍🚒	person-role/woman-firefighter-medium-light-skin-tone
👩🏽‍🚒	person-role/woman-firefighter-medium-skin-tone
👩🏾‍🚒	person-role/woman-firefighter-medium-dark-skin-tone
👩🏿‍🚒	person-role/woman-firefighter-dark-skin-tone
👮	person-role/police-officer
👮🏻	person-role/police-officer-light-skin-tone
👮🏼	person-role/police-officer-medium-light-skin-tone
👮🏽	person-role/police-officer-medium-skin-tone
👮🏾	person-role/police-officer-medium-dark-skin-tone
👮🏿	person-role/police-officer-dark-skin-tone
👮‍♂️	person-role/man-police-officer
👮‍♂	person-role/man-police-officer
👮🏻‍♂️	person-role/man-police-officer-light-skin-tone
👮🏻‍♂	person-role/man-police-officer-light-skin-tone
👮🏼‍♂️	person-role/man-police-officer-medium-light-skin-tone
👮🏼‍♂	person-role/man-police-officer-medium-light-skin-tone
👮🏽‍♂️	person-role/man-police-officer-medium-skin-tone
👮🏽‍♂	person-role/man-police-officer-medium-skin-tone
👮🏾‍♂️	person-role/man-police-officer-medium-dark-skin-tone
👮🏾‍♂	person-role/man-police-officer-medium-dark-skin-tone
👮🏿‍♂️	person-role/man-police-officer-dark-skin-tone
👮🏿‍♂	person-role/man-police-officer-dark-skin-tone
👮‍♀️	person-role/woman-police-officer
👮‍♀	person-role/woman-police-officer
👮🏻‍♀️	person-role/woman-police-officer-light-skin-tone
👮🏻‍♀	person-role/woman-police-officer-light-skin-tone
👮🏼‍♀️	person-role/woman-police-officer-medium-light-skin-tone
👮🏼‍♀	person-role/woman-police-officer-medium-light-skin-tone
👮🏽‍♀️	person-role/woman-police-officer-medium-skin-tone
👮🏽‍♀	person-role/woman-police-officer-medium-skin-tone
👮🏾‍♀️	person-role/woman-police-officer-medium-dark-skin-tone
👮🏾‍♀	person-role/woman-police-officer-medium-dark-skin-tone
👮🏿‍♀️	person-role/woman-police-officer-dark-skin-tone
👮🏿‍♀	person-role/woman-police-officer-dark-skin-tone
🕵️	person-role/detective
🕵	person-role/detective
🕵🏻	person-role/detective-light-skin-tone
🕵🏼	person-role/detective-medium-light-skin-tone
🕵🏽	person-role/detective-medium-skin-tone
🕵🏾	person-role/detective-medium-dark-skin-tone
🕵🏿	person-role/detective-dark-skin-tone
🕵️‍♂️	person-role/man-detective
🕵‍♂️	person-role/man-detective
🕵️‍♂	person-role/man-detective
🕵‍♂	person-role/man-detective
🕵🏻‍♂️	person-role/man-detective-light-skin-tone
🕵🏻‍♂	person-role/man-detective-light-skin-tone
🕵🏼‍♂️	person-role/man-detective-medium-light-skin-tone
🕵🏼‍♂	person-role/man-detective-medium-light-skin-tone
🕵🏽‍♂️	person-role/man-detective-medium-skin-tone
🕵🏽‍♂	person-role/man-detective-medium-skin-tone
🕵🏾‍♂️	person-role/man-detective-medium-dark-skin-tone
🕵🏾‍♂	person-role/man-detective-medium-dark-skin-tone
🕵🏿‍♂️	person-role/man-detective-dark-skin-tone
🕵🏿‍♂	person-role/man-detective-dark-skin-tone
🕵️‍♀️	person-role/woman-detective
🕵‍♀️	person-role/woman-detective
🕵️‍♀	person-role/woman-detective
🕵‍♀	person-role/woman-detective
🕵🏻‍♀️	person-role/woman-detective-light-skin-tone
🕵🏻‍♀	person-role/woman-detective-light-skin-tone
🕵🏼‍♀️	person-role/woman-detective-medium-light-skin-tone
🕵🏼‍♀	person-role/woman-detective-medium-light-skin-tone
🕵🏽‍♀️	person-role/woman-detective-medium-skin-tone
🕵🏽‍♀	person-role/woman-detective-medium-skin-tone
🕵🏾‍♀️	person-role/woman-detective-medium-dark-skin-tone
🕵🏾‍♀	person-role/woman-detective-medium-dark-skin-tone
🕵🏿‍♀️	person-role/woman-detective-dark-skin-tone
🕵🏿‍♀	person-role/woman-detective-dark-skin-tone
💂	person-role/guard
💂🏻	person-role/guard-light-skin-tone
💂🏼	person-role/guard-medium-light-skin-tone
💂🏽	person-role/guard-medium-skin-tone
💂🏾	person-role/guard-medium-dark-skin-tone
💂🏿	person-role/guard-dark-skin-tone
💂‍♂️	person-role/man-guard
💂‍♂	person-role/man-guard
💂🏻‍♂️	person-role/man-guard-light-skin-tone
💂🏻‍♂	person-role/man-guard-light-skin-tone
💂🏼‍♂️	person-role/man-guard-medium-light-skin-tone
💂🏼‍♂	person-role/man-guard-medium-light-skin-tone
💂🏽‍♂️	person-role/man-guard-medium-skin-tone
💂🏽‍♂	person-role/man-guard-medium-skin-tone
💂🏾‍♂️	person-role/man-guard-medium-dark-skin-tone
💂🏾‍♂	person-role/man-guard-medium-dark-skin-tone
💂🏿‍♂️	person-role/man-guard-dark-skin-tone
💂🏿‍♂	person-role/man-guard-dark-skin-tone
💂‍♀️	person-role/woman-guard
💂‍♀	person-role/woman-guard
💂🏻‍♀️	person-role/woman-guard-light-skin-tone
💂🏻‍♀	person-role/woman-guard-light-skin-tone
💂🏼‍♀️	person-role/woman-guard-medium-light-skin-tone
💂🏼‍♀	person-role/woman-guard-medium-light-skin-tone
💂🏽‍♀️	person-role/woman-guard-medium-skin-tone
💂🏽‍♀	person-role/woman-guard-medium-skin-tone
💂🏾‍♀️	person-role/woman-guard-medium-dark-skin-tone
💂🏾‍♀	person-role/woman-guard-medium-dark-skin-tone
💂🏿‍♀️	person-role/woman-guard-dark-skin-tone
💂🏿‍♀	person-role/woman-guard-dark-skin-tone
🥷	person-role/ninja
🥷🏻	person-role/ninja-light-skin-tone
🥷🏼	person-role/ninja-medium-light-skin-tone
🥷🏽	person-role/ninja-medium-skin-tone
🥷🏾	person-role/ninja-medium-dark-skin-tone
🥷🏿	person-role/ninja-dark-skin-tone
👷	person-role/construction-worker
👷🏻	person-role/construction-worker-light-skin-tone
👷🏼	person-role/construction-worker-medium-light-skin-tone
👷🏽	person-role/construction-worker-medium-skin-tone
👷🏾	person-role/construction-worker-medium-dark-skin-tone
👷🏿	person-role/construction-worker-dark-skin-tone
👷‍♂️	person-role/man-construction-worker
👷‍♂	person-role/man-construction-worker
👷🏻‍♂️	person-role/man-construction-worker-light-skin-tone
👷🏻‍♂	person-role/man-construction-worker-light-skin-tone
👷🏼‍♂️	person-role/man-construction-worker-medium-light-skin-tone
👷🏼‍♂	person-role/man-construction-worker-medium-light-skin-tone
👷🏽‍♂️	person-role/man-construction-worker-medium-skin-tone
👷🏽‍♂	person-role/man-construction-worker-medium-skin-tone
👷🏾‍♂️	person-role/man-construction-worker-medium-dark-skin-tone
👷🏾‍♂	person-role/man-construction-worker-medium-dark-skin-tone
👷🏿‍♂️	person-role/man-construction-worker-dark-skin-tone
👷🏿‍♂	person-role/man-construction-worker-dark-skin-tone
👷‍♀️	person-role/woman-construction-worker
👷‍♀	person-role/woman-construction-worker
👷🏻‍♀️	person-role/woman-construction-worker-light-skin-tone
👷🏻‍♀	person-role/woman-construction-worker-light-skin-tone
👷🏼‍♀️	person-role/woman-construction-worker-medium-light-skin-tone
👷🏼‍♀	person-role/woman-construction-worker-medium-light-skin-tone
👷🏽‍♀️	person-role/woman-construction-worker-medium-skin-tone
👷🏽‍♀	person-role/woman-construction-worker-medium-skin-tone
👷🏾‍♀️	person-role/woman-construction-worker-medium-dark-skin-tone
👷🏾‍♀	person-role/woman-construction-worker-medium-dark-skin-tone
👷🏿‍♀️	person-role/woman-construction-worker-dark-skin-tone
👷🏿‍♀	person-role/woman-construction-worker-dark-skin-tone
🫅	person-role/person-with-crown
🫅🏻	person-role/person-with-crown-light-skin-tone
🫅🏼	person-role/person-with-crown-medium-light-skin-tone
🫅🏽	person-role/person-with-crown-medium-skin-tone
🫅🏾	person-role/person-with-crown-medium-dark-skin-tone
🫅🏿	person-role/person-with-crown-dark-skin-tone
🤴	person-role/prince
🤴🏻	person-role/prince-light-skin-tone
🤴🏼	person-role/prince-medium-light-skin-tone
🤴🏽	person-role/prince-medium-skin-tone
🤴🏾	person-role/prince-medium-dark-skin-tone
🤴🏿	person-role/prince-dark-skin-tone
👸	person-role/princess
👸🏻	person-role/princess-light-skin-tone
👸🏼	person-role/princess-medium-light-skin-tone
👸🏽	person-role/princess-medium-skin-tone
👸🏾	person-role/princess-medium-dark-skin-tone
👸🏿	person-role/princess-dark-skin-tone
👳	person-role/person-wearing-turban
👳🏻	person-role/person-wearing-turban-light-skin-tone
👳🏼	person-role/person-wearing-turban-medium-light-skin-tone
👳🏽	person-role/person-wearing-turban-medium-skin-tone
👳🏾	person-role/person-wearing-turban-medium-dark-skin-tone
👳🏿	person-role/person-wearing-turban-dark-skin-tone
👳‍♂️	person-role/man-wearing-turban
👳‍♂	person-role/man-wearing-turban
👳🏻‍♂️	person-role/man-wearing-turban-light-skin-tone
👳🏻‍♂	person-role/man-wearing-turban-light-skin-tone
